Topic 774 (0.00): century, land, local, poor, parish, population, wealth, rural, towns, labourers
Topic 86 (0.00): colour, red, blue, colours, white, green, yellow, black, light, dark
Topic 403 (0.00): culture, cultural, society, world, western, cultures, values, modern, life, social
Topic 486 (0.00): television, programme, news, radio, programmes, series, people, viewers, coverage, live
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 859 (0.00): tears, pain, life, death, cry, grief, anger, crying, feeling, feelings
Topic 1164 (0.00): conference, held, international, seminar, delegates, details, meeting, conferences, institute, university
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, country, john, home
Topic 1043 (0.00): demand, money, rate, supply, real, curve, wage, labour, inflation, unemployment
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, water, hydrogen, form
Topic 1231 (0.00): care, people, homes, elderly, home, residential, carers, community, social, services
Topic 439 (0.00): west, land, people, colonial, colonies, population, century, south, peoples, north
Topic 680 (0.00): political, power, bureaucracy, elite, government, society, control, elites, institutions, public
Topic 416 (0.00): gene, expression, genes, sequence, human, sequences, protein, shown, cells, figure
Topic 310 (0.00): building, floor, roof, space, buildings, main, built, wall, ground, entrance
Topic 102 (0.00): community, local, people, communities, education, social, development, participation, action, adult
Topic 719 (0.00): people, person, talk, feel, talking, time, listen, listening, conversation, status
Topic 222 (0.00): ghost, fairy, god, earth, story, legend, evil, world, stories, gods
Topic 467 (0.00): story, fiction, book, novels, characters, narrative, reader, writer, character, writing
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, centre, concert, programme, events
Topic 1047 (0.00): job, career, jobs, people, training, recruitment, employment, experience, employers, qualifications
Topic 108 (0.00): council, county, local, councillors, councillor, district, town, borough, committee, meeting
Topic 1345 (0.00): moral, society, morality, human, ethical, values, principles, ethics, view, morally
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, playing, strings, fender
Topic 1107 (0.00): gun, shot, guns, fired, fire, shooting, rifle, shots, shoot, bullets
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, industry, audience
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
Topic 838 (0.00): exchange, rate, currency, rates, dollar, sterling, currencies, monetary, foreign, countries
Topic 950 (0.00): computer, software, computers, program, programs, machine, system, data, machines, information
Topic 1039 (0.00): environmental, pollution, environment, air, emissions, dioxide, sulphur, carbon, acid, rain
Topic 771 (0.00): aids, virus, infection, disease, infected, diseases, hepatitis, blood, people, risk
Topic 1082 (0.00): cells, minutes, samples, buffer, antibody, solution, serum, sections, added, incubated
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, courses
Topic 388 (0.00): modules, national, certificate, centres, development, qualifications, courses, assessment, awards, vocational
Topic 314 (0.00): cost, market, marginal, price, costs, firm, firms, output, social, prices
Topic 970 (0.00): business, businesses, companies, company, industry, commercial, enterprise, trade, management, financial
Topic 954 (0.00): purchaser, vendor, sale, business, information, completion, agreement, mas, client, letter
Topic 451 (0.00): intelligence, maxim, secret, security, agents, service, operation, information, government, agent
Topic 1053 (0.00): science, scientific, scientists, scientist, research, knowledge, world, sciences, theory, chemistry
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, written, knowledge, teaching, speak
Topic 598 (0.00): library, libraries, books, stock, public, book, information, librarian, librarians, collection
Topic 414 (0.00): bank, banks, money, market, deposits, bills, rates, discount, financial, assets
Topic 250 (0.00): railway, steam, line, train, locomotive, station, trains, class, locomotives, railways
Topic 498 (0.00): site, development, planning, council, local, building, plans, land, build, scheme
Topic 1392 (0.00): growth, productivity, rate, output, labour, prices, investment, capital, increase, cent
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, individual
Topic 1284 (0.00): god, christian, theology, bible, history, human, testament, religion, church, faith
Topic 441 (0.00): depression, mental, illness, disorder, symptoms, psychiatric, schizophrenia, psychological, loss, behaviour
Topic 392 (0.00): race, racing, team, world, championship, car, grand, season, driver, formula
Topic 256 (0.00): courts, decision, court, judicial, law, review, jurisdiction, justice, lord, power
Topic 97 (0.00): consciousness, experience, mental, mind, perception, world, physical, sense, objects, conscious
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, details, price, time, brochure
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, sentences, context, sentence, analysis, structure
Topic 78 (0.00): music, song, singing, songs, sing, play, played, playing, piano, sang
Topic 462 (0.00): train, station, railway, platform, trains, car, passengers, journey, line, carriage
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, barley, grown
Topic 793 (0.00): courses, day, sessions, training, centre, contact, local, workshop, programme, information
Topic 7 (0.00): approach, strategy, approaches, process, model, strategies, adopted, view, focus, emphasis
Topic 1104 (0.00): education, training, compact, industry, development, enterprise, partnership, employers, students, experience
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, text, writing, study, language
Topic 616 (0.00): water, erosion, surface, soils, rock, sea, sand, weathering, rocks, soil
