Topic 1224 (0.00): history, historical, historians, evidence, sources, past, historian, material, documents, study
Topic 1143 (0.00): plaintiff, duty, negligence, damage, liability, defendant, act, liable, action, person
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, station, news, stations, broadcast
Topic 205 (0.00): car, accident, hospital, crash, killed, died, police, road, injured, injuries
Topic 1207 (0.00): police, officers, policing, chief, force, crime, policemen, constable, public, forces
Topic 218 (0.00): nuclear, power, reactor, fuel, plant, station, reactors, plutonium, energy, safety
Topic 1182 (0.00): car, cars, motor, rover, ford, company, production, model, manufacturers, engine
Topic 247 (0.00): change, changing, process, changed, time, major, altered, structure, affected, system
Topic 1496 (0.00): fire, smoke, flames, burning, fires, burn, flame, brigade, set, blaze
Topic 275 (0.00): advice, information, local, bureau, service, services, cab, contact, bureaux, people
Topic 1309 (0.00): defence, military, forces, army, armed, force, troops, air, ministry, staff
Topic 743 (0.00): tennis, world, players, game, match, player, champion, tournament, final, court
Topic 252 (0.00): term, terms, word, sense, meaning, describe, refer, definition, means, concept
Topic 1431 (0.00): nuclear, weapons, soviet, arms, treaty, defence, missiles, military, disarmament, union
