Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 693 (0.00): factors, factor, influence, individual, conditions, environment, nature, degree, importance, affect
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, fly, air, airport, landing, runway
Topic 1164 (0.00): conference, held, international, seminar, meeting, institute, delegates, details, university, conferences
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, told, flight, waiting
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, cardiac, coronary, failure, acute
Topic 1394 (0.00): minister, affairs, cabinet, prime, ministers, foreign, deputy, education, industry, defence
Topic 329 (0.00): church, cathedral, century, churches, building, built, nave, buildings, stone, columns
Topic 1073 (0.00): peasants, peasant, government, land, peasantry, tsar, reform, political, local, emancipation
Topic 541 (0.00): countryside, conservation, national, nature, wildlife, environment, environmental, land, trust, sites
Topic 1241 (0.00): strike, union, workers, unions, action, industrial, dispute, strikes, trade, government
Topic 774 (0.00): century, local, land, poor, parish, population, labourers, wealth, towns, rural
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, street, buy, retail, customer
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, services, community, social
Topic 719 (0.00): people, person, talk, feel, talking, listen, time, listening, ideas, feelings
Topic 439 (0.00): colonial, west, land, colonies, century, people, south, population, peoples, trade
Topic 86 (0.00): colour, red, colours, blue, white, yellow, green, black, light, dark
Topic 629 (0.00): money, week, pay, paid, day, buy, cost, food, job, rent
Topic 486 (0.00): television, news, programme, radio, programmes, series, viewers, people, coverage, live
Topic 1345 (0.00): moral, society, morality, human, ethical, values, view, principles, people, ethics
Topic 1043 (0.00): demand, money, rate, supply, curve, real, wage, unemployment, level, inflation
Topic 403 (0.00): culture, cultural, world, society, western, values, cultures, life, modern, social
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, country, home, smith
Topic 416 (0.00): gene, expression, genes, sequence, human, sequences, protein, cells, shown, figure
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, reaction
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 680 (0.00): political, power, bureaucracy, elite, government, society, control, elites, institutions, public
Topic 451 (0.00): intelligence, maxim, secret, security, agents, service, information, operation, government, agent
Topic 108 (0.00): council, county, local, councillors, town, councillor, district, borough, committee, meeting
Topic 1047 (0.00): job, career, jobs, recruitment, training, people, experience, employment, qualifications, employers
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
