Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, house, homeless, people
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, waiting, time, flight
Topic 859 (0.00): tears, life, pain, death, grief, cry, feeling, anger, suffering, time
Topic 541 (0.00): countryside, conservation, national, nature, wildlife, trust, environment, environmental, land, sites
Topic 693 (0.00): factors, factor, influence, individual, conditions, environment, degree, importance, extent, nature
Topic 1241 (0.00): strike, union, workers, unions, action, trade, industrial, dispute, strikes, government
Topic 403 (0.00): culture, cultural, society, world, cultures, values, western, social, modern, traditional
Topic 905 (0.00): aircraft, plane, pilot, flight, flying, air, fly, airport, landing, runway
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, cardiac, coronary, disease, acute
Topic 629 (0.00): money, week, pay, paid, day, job, buy, cost, food, home
Topic 329 (0.00): church, cathedral, century, built, churches, building, nave, buildings, stone, columns
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, political, local, nobility
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 774 (0.00): century, land, local, poor, parish, population, wealth, towns, rural, labourers
Topic 86 (0.00): colour, red, colours, blue, white, green, yellow, black, light, dark
Topic 1394 (0.00): minister, affairs, cabinet, prime, foreign, ministers, deputy, education, defence, industry
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, customer, people
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, community, services, caring
Topic 1164 (0.00): conference, held, international, seminar, delegates, details, institute, meeting, university, programme
Topic 486 (0.00): television, programme, news, radio, programmes, series, coverage, viewers, people, live
Topic 680 (0.00): political, power, bureaucracy, elite, government, control, society, elites, public, institutions
Topic 571 (0.00): oxford, people, reports, pounds, hundred, thousand, ago, john, tonight, country
Topic 416 (0.00): gene, expression, genes, sequence, sequences, human, protein, cells, shown, fragment
Topic 1047 (0.00): job, career, jobs, training, people, recruitment, employment, experience, qualifications, employers
Topic 1043 (0.00): demand, money, rate, supply, curve, real, wage, level, labour, unemployment
Topic 439 (0.00): land, people, west, century, colonial, colonies, population, peoples, trade, south
Topic 1345 (0.00): moral, society, morality, ethical, human, values, view, principles, people, ethics
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, form, water
Topic 719 (0.00): people, person, feel, talk, talking, listen, time, listening, feelings, ideas
Topic 310 (0.00): building, floor, buildings, roof, space, main, wall, entrance, ground, built
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writing, writer, character
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, audience, industry
Topic 954 (0.00): purchaser, vendor, sale, business, information, completion, agreement, mas, letter, warranties
Topic 970 (0.00): business, businesses, companies, company, commercial, industry, enterprise, trade, management, financial
Topic 222 (0.00): ghost, world, god, fairy, evil, story, legend, earth, gods, woman
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, centre, events, concert, programme
Topic 1039 (0.00): environmental, pollution, environment, emissions, air, dioxide, sulphur, carbon, acid, rain
