Topic 599 (0.00): river, water, bridge, bank, boat, rivers, lake, banks, mud, tide
Topic 78 (0.00): music, song, singing, songs, sing, playing, played, play, piano, sang
Topic 354 (0.00): political, politics, party, parties, government, system, support, politicians, public, policy
Topic 630 (0.00): assets, profit, accounts, account, accounting, balance, net, cost, company, loss
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, prosecution, defence, witnesses, defendant
Topic 418 (0.00): tea, coffee, cup, cups, table, kitchen, mug, sat, kettle, drink
Topic 1154 (0.00): pope, king, church, papal, archbishop, bishop, royal, bishops, clergy, innocent
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, grown, fields
Topic 1188 (0.00): street, road, house, lane, park, west, square, shop, town, church
Topic 1170 (0.00): medical, doctors, doctor, treatment, medicine, patients, health, clinical, practice, patient
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, people, independence, cultural
Topic 826 (0.00): pain, leg, injury, wound, injuries, broken, knee, left, head, hospital
Topic 813 (0.00): knitting, knit, machine, stitches, needles, yarn, rows, stitch, row, pattern
Topic 1276 (0.00): million, cent, total, billion, cost, estimated, half, figures, figure, increase
Topic 1204 (0.00): genes, selection, genetic, evolution, gene, natural, generation, species, population, evolutionary
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, paid, rate, inland, act
Topic 1375 (0.00): arms, legs, leg, body, feet, head, hands, left, arm, position
Topic 1037 (0.00): directive, community, commission, national, legislation, market, law, article, council, directives
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, couple, public
Topic 90 (0.00): planning, development, land, local, permission, authorities, authority, town, control, act
Topic 381 (0.00): museum, centre, exhibition, visitors, history, visit, shop, collection, display, special
Topic 1479 (0.00): audit, auditors, institute, accounts, companies, financial, firms, report, accounting, accountants
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, party, plaintiffs, application, judgment
Topic 1075 (0.00): oil, gas, production, sea, north, exploration, offshore, field, companies, company
Topic 581 (0.00): father, mother, son, family, daughter, boy, child, brother, parents, died
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, nuclear, consumption, efficiency
Topic 95 (0.00): binding, protein, promoter, transcription, sites, figure, site, sequence, proteins, lanes
